Location,QuadKey,Url,Size,UploadDate
Afghanistan,123013123,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013123/part-00003-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.2MB,2026-02-23
Afghanistan,123013130,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013130/part-00135-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,766.0KB,2026-02-23
Afghanistan,123013131,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013131/part-00168-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,351.8KB,2026-02-23
Afghanistan,123013132,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013132/part-00079-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.5MB,2026-02-23
Afghanistan,123013133,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013133/part-00054-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.2MB,2026-02-23
Afghanistan,123013200,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013200/part-00060-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,8.0MB,2026-02-23
Afghanistan,123013201,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013201/part-00055-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.0MB,2026-02-23
Afghanistan,123013202,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013202/part-00055-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.1MB,2026-02-23
Afghanistan,123013203,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013203/part-00140-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,473.1KB,2026-02-23
Afghanistan,123013210,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013210/part-00149-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.3MB,2026-02-23
